country,internal_reporting,count,timestamp
OMN,False,137,2024-02-15
RUS,True,2,2024-02-15
QAT,False,14,2024-02-15
LBY,True,3,2024-02-15
SGP,,143,2024-02-15
PRT,False,9,2024-02-15
HND,False,11,2024-02-15
IND,,1981,2024-02-15
KAZ,,25,2024-02-15
HTI,False,6,2024-02-15
BRA,False,24,2024-02-15
GIN,True,8,2024-02-15
LTU,False,1,2024-02-15
HKG,,454,2024-02-15
NZL,True,243,2024-02-15
PHL,False,35,2024-02-15
KHM,,82,2024-02-15
MMR,,19,2024-02-15
MMR,False,13,2024-02-15
MKD,,39,2024-02-15
IRL,False,18,2024-02-15
IDN,,511,2024-02-15
CHN,,14,2024-02-15
SLV,True,103,2024-02-15
MKD,True,33,2024-02-15
PRI,False,2,2024-02-15
DZA,,35,2024-02-15
FLK,True,4,2024-02-15
GUY,True,94,2024-02-15
BOL,False,38,2024-02-15
VEN,True,129,2024-02-15
CIV,True,12,2024-02-15
JPN,,106,2024-02-15
ESP,True,34,2024-02-15
SRB,,9,2024-02-15
BHR,True,8,2024-02-15
TZA,,6,2024-02-15
BHS,False,3,2024-02-15
KGZ,,27,2024-02-15
LAO,,22,2024-02-15
PHL,,205,2024-02-15
IND,True,460,2024-02-15
EGY,,38,2024-02-15
KOR,True,45,2024-02-15
PRY,True,133,2024-02-15
QAT,True,48,2024-02-15
URY,False,3,2024-02-15
VNM,False,2,2024-02-15
BRA,True,192,2024-03-15
THA,False,34,2024-03-15
ZAF,False,105,2024-03-15
SLB,True,61,2024-03-15
PSE,,20,2024-03-15
HTI,,6,2024-03-15
IRN,True,21,2024-03-15
NOR,True,139,2024-03-15
POL,,215,2024-03-15
LVA,,16,2024-03-15
WSM,True,13,2024-03-15
JAM,,23,2024-03-15
ZMB,,5,2024-03-15
PRY,False,15,2024-03-15
BRA,,400,2024-03-15
LAO,True,15,2024-03-15
MOZ,,91,2024-03-15
JOR,,2,2024-03-15
RWA,True,107,2024-03-15
TUR,False,13,2024-03-15
MNE,False,1,2024-03-15
SOM,,1,2024-03-15
NPL,True,378,2024-03-15
ECU,False,33,2024-03-15
MDG,True,36,2024-03-15
BRN,,1,2024-03-15
SLB,False,2,2024-03-15
BOL,,48,2024-03-15
URY,,45,2024-03-15
IND,False,24,2024-03-15
HKG,True,182,2024-03-15
SHN,False,4,2024-03-15
HND,True,18,2024-03-15
GIB,,17,2024-03-15
LBY,,7,2024-03-15
CHN,False,68,2024-03-15
IDN,True,355,2024-03-15
ITA,True,17,2024-03-15
MOZ,False,3,2024-03-15
JPN,True,94,2024-03-15
ETH,True,19,2024-03-15
IRN,False,5,2024-03-15
VEN,False,17,2024-03-15
NRU,True,2,2024-03-15
ETH,,360,2024-03-15
GEO,False,5,2024-03-15
KWT,False,10,2024-03-15
LKA,True,39,2024-03-15
UKR,,947,2024-03-15
ITA,,47,2024-03-15
BMU,True,1,2024-03-15
CMR,,21,2024-03-15
GHA,,11,2024-03-15
NOR,False,374,2024-03-15
TZA,True,668,2024-03-15
JAM,True,21,2024-03-15
SEN,,1,2024-03-15
SGP,True,206,2024-03-15
MLI,True,4,2024-03-15
KWT,True,24,2024-03-15
GUY,,14,2024-03-15
COM,,2,2024-03-15
LCA,,2,2024-03-15
BHS,True,2,2024-03-15
ZAF,True,37,2024-03-15
SHN,,4,2024-03-15
GUY,False,5,2024-03-15
MNG,False,2,2024-03-15
SLV,False,2,2024-03-15
QAT,,20,2024-03-15
PCN,,2,2024-03-15
BHS,,2,2024-03-15
MAR,False,5,2024-03-15
GBR,,1701,2024-03-15
MEX,False,127,2024-03-15
BOL,True,91,2024-03-15
TLS,True,68,2024-03-15
MAC,True,10,2024-03-15
TZA,False,2,2024-03-15
SOM,True,1,2024-03-15
PRY,,78,2024-03-15
GHA,True,17,2024-03-15
TTO,False,3,2024-03-15
KAZ,True,7,2024-03-15
UGA,False,10,2024-03-15
TON,,4,2024-03-15
GEO,True,58,2024-03-15
URY,True,75,2024-03-15
MDG,False,3,2024-03-15
CRI,,66,2024-03-15
JOR,False,9,2024-03-15
MMR,True,79,2024-03-15
SYC,True,33,2024-03-15
LKA,False,8,2024-03-15
LVA,True,114,2024-03-15
GBR,False,480,2024-03-15
TON,True,23,2024-03-15
DZA,False,2,2024-03-15
NPL,,4,2024-03-15
CRI,True,65,2024-03-15
BRN,True,59,2024-03-15
UGA,,25,2024-03-15
MLI,,6,2024-03-15
JAM,False,32,2024-03-15
KNA,,1,2024-03-15
MEX,,609,2024-03-15
UKR,True,205,2024-03-15
LBN,True,15,2024-03-15
GRC,False,9,2024-03-15
PNG,,59,2024-03-15
DMA,,2,2024-03-15
YEM,,7,2024-03-15
IDN,False,77,2024-03-15
LVA,False,1,2024-03-15
BLR,,119,2024-03-15
MNG,,254,2024-03-15
SYC,,1,2024-03-15
NIC,True,43,2024-03-15
LTU,True,5,2024-03-15
KOR,False,1,2024-03-15
TKM,,12,2024-03-15
NZL,,152,2024-03-15
THA,,2230,2024-03-15
CYP,False,3,2024-03-15
NOR,,198,2024-03-15
IRQ,,77,2024-03-15
MOZ,True,26,2024-03-15
VEN,,60,2024-03-15
SAU,True,702,2024-03-15
CHL,False,25,2024-03-15
SYR,True,1,2024-03-15
TLS,,4,2024-03-15
EGY,False,12,2024-03-15
SAU,,93,2024-03-15
GRC,True,22,2024-03-15
CAN,True,1,2024-03-15
LAO,False,1,2024-03-15
DOM,,218,2024-03-15
PRT,True,56,2024-03-15
CYP,True,5,2024-03-15
LBR,True,4,2024-03-15
